name integrated christian number sphere behind
ALLISON 0 0 11 0 0
ANDREAS 0 0 NA 1 0
ANNIE 0 1 8 0 0
APRIL 1 0 2 0 0
ASHES 0 1 12 0 0
BECKY 0 1 16 0 0
BETH 0 1 6 0 0
BLUE 0 0 9 0 0
BRYONY 0 0 NA 1 0
BUMBLE_BEE 0 0 NA 0 0
CALANDER NA NA NA 0 1
CAMILLA 0 0 NA 1 0
CAMMY 0 0 36 0 0
CAROL 1 0 3 0 0
CARRIE 0 1 17 0 0
CHARLEY NA NA NA 0 1
CHARLOTTE 1 1 29 0 0
CHERUB 0 1 7 0 0
CHIPPER 0 0 NA 0 0
CHRISTINE 0 0 36 0 0
COVENANT_ONE 0 0 NA 1 0
DARK_RIDER 0 0 NA 1 0
DESTINY 0 0 NA 0 0
DIBBY 0 0 8 0 0
DORDY 0 0 NA 0 0
DO_DO NA NA NA 0 1
DRIVER 0 0 NA 1 0
DUNSHINE 0 0 5 0 0
ELIZABETH 0 1 10 0 0
ELLIOT NA NA NA 0 0
EMILY_MAY 0 1 60 0 0
ENOUGH 0 0 36 0 0
ERICA 0 1 30 1 0
FRANCIS NA NA NA 0 1
FRIGHTENED_ONE NA NA NA 0 1
GEORGE 1 0 5 0 0
GUARDIAN 0 0 NA 1 0
HANDS 1 0 5 0 0
HONESTY 0 1 13 0 0
JACK NA NA NA 0 1
JANEY 0 1 7 0 0
JC 1 1 36 0 0
JENNY_WREN 0 0 NA 0 0
JETHRO 0 0 NA 0 0
JEWELS 0 0 6 0 0
JILL NA NA NA 0 0
JOHN_THE_GREATER 0 0 NA 1 0
JOHN_THE_LESSER 0 0 NA 1 0
JUDE 0 0 9 0 0
JUDE_ONE NA NA NA 0 0
JULIE 0 1 36 0 0
JU_JU 0 1 5 0 0
KEITH 0 1 21 0 0
LITTLE_GIRL 0 0 NA 0 0
LITTLE_JOEY 0 0 2 0 0
LITTLE_JULIE 0 0 7 0 0
LOCKED_IN NA NA NA 0 1
LOU_LOU 0 0 NA 1 0
MAGICK 0 0 NA 1 0
MANDY 0 0 NA 0 0
MARY 0 1 16 0 0
MEG 1 1 2.5 0 0
MIA 0 0 4 0 0
MICHELLE 0 1 12 0 0
MILLIE 0 0 22 1 0
MIRANDA 0 0 NA 1 0
MORNING_STAR 0 0 NA 1 0
NAOMI 0 0 NA 0 0
NIGHT_TIME 0 0 8 0 0
NODDY 0 0 NA 0 0
NOTHING 0 1 12 0 0
OLD_NELL 0 0 73 0 0
PANDA 0 0 NA 0 0
PATRICIA 0 1 36 0 0
PEGGY 1 0 4.5 0 0
PENNY NA NA NA 0 0
PIPPA 0 0 4 0 0
POLLY 1 1 4 0 0
POPPY NA NA NA 0 1
PUSSY NA NA NA 1 0
QUIET_VICTORIA 0 0 7 0 0
RED 0 0 5 0 0
REJECT 0 0 NA 0 0
ROSY 0 0 6 0 0
SARAH 1 1 8 0 0
SAWDUST NA NA NA 0 1
SECRET 0 1 36 1 0
SILLY NA NA NA 0 1
SKYE 0 0 17 0 0
STEPHANIE 0 1 NA 1 0
STORMIE 0 1 12 0 0
TEDDY NA NA NA 0 1
TEMPLE_KEEPER 0 0 NA 1 0
THE_JUDGE 0 0 NA 0 0
THUMB NA NA NA 0 1
TIC_TAC 0 0 4 0 0
TITCH 0 0 12 0 0
TWINKLE 1 1 6 0 0
U_2 0 0 NA 0 0
VANESSA 0 1 21 0 0
VERA NA NA NA 0 0
WENDY 0 1 8 0 0
WHISPER 0 1 13 0 0
Z_1 NA NA NA 1 0
Z_2 NA NA NA 1 0
Z_3 NA NA NA 1 0
Z_4 NA NA NA 1 0
